aspect,adjective,aspect_adj,predictions_overall,predictions_absa_pre
coffee,yummy,yummy coffee,Positive,Positive
experience,yummy,yummy experience,Negative,Positive
they,yummy,yummy they,Positive,Positive
it,yummy,yummy it,Positive,Positive
sourdough bread,yummy,yummy sourdough bread,Neutral,Positive
mac,yummy,yummy mac,Positive,Positive
service,yummy,yummy service,Positive,Positive
breakfast,yummy,yummy breakfast,Positive,Positive
lady,younger,younger lady,Negative,Neutral
lady,young,young lady,Negative,Neutral
lady,young,young lady,Negative,Neutral
lady,young,young lady,Negative,Neutral
lady,young,young lady,Negative,Neutral
she,young,young she,Positive,Neutral
lady,young,young lady,Positive,Neutral
lady,young,young lady,Positive,Neutral
woman,young,young woman,Positive,Neutral
cashier,young,young cashier,Positive,Neutral
girl,young,young girl,Positive,Neutral
girl,young,young girl,Negative,Neutral
lady,young,young lady,Negative,Neutral
lady,young,young lady,Negative,Neutral
girl,young,young girl,Negative,Neutral
girl,young,young girl,Negative,Neutral
lady,young,young lady,Negative,Neutral
lady,young,young lady,Negative,Neutral
woman,young,young woman,Negative,Neutral
lady,young,young lady,Negative,Neutral
man,young,young man,Negative,Neutral
man,young,young man,Negative,Neutral
man,young,young man,Negative,Neutral
lady,young,young lady,Negative,Neutral
man,young,young man,Negative,Neutral
lady,young,young lady,Positive,Neutral
crew,young,young crew,Negative,Neutral
thing,yippy,yippy thing,Negative,Neutral
mayo,yellow,yellow mayo,Negative,Neutral
rufus,yelled,yelled rufus,Negative,Neutral
they,yea,yea they,Positive,Neutral
people,wrong,wrong people,Negative,Negative
it,wrong,wrong it,Negative,Negative
order,wrong,wrong order,Negative,Negative
food order,wrong,wrong food order,Negative,Negative
order,wrong,wrong order,Negative,Negative
food,wrong,wrong food,Negative,Negative
i,wrong,wrong i,Negative,Negative
order,wrong,wrong order,Negative,Negative
order,wrong,wrong order,Negative,Negative
order,wrong,wrong order,Negative,Negative
they,wrong,wrong they,Negative,Negative
they,wrong,wrong they,Negative,Negative
order,wrong,wrong order,Negative,Negative
order,wrong,wrong order,Positive,Negative
order,wrong,wrong order,Negative,Negative
order,wrong,wrong order,Negative,Negative
grind size,wrong,wrong grind size,Negative,Negative
i,wrong,wrong i,Neutral,Negative
order,wrong,wrong order,Negative,Negative
item,wrong,wrong item,Negative,Negative
order,wrong,wrong order,Negative,Negative
amount,wrong,wrong amount,Negative,Negative
drink,wrong,wrong drink,Negative,Negative
decision,wrong,wrong decision,Negative,Negative
boy,wrong,wrong boy,Negative,Negative
i,wrong,wrong i,Negative,Negative
something,wrong,wrong something,Negative,Negative
item,wrong,wrong item,Negative,Negative
it,worth,worth it,Neutral,Positive
it,worth,worth it,Positive,Positive
it,worth,worth it,Negative,Positive
nothing,worth,worth nothing,Negative,Positive
place,worth,worth place,Positive,Positive
stone,worth,worth stone,Positive,Positive
