Review,Star,Sentiment
"The steaks range from 60 dollars to 130 dollars. This is a high price for a steak but well worth it, if the steak is prepared how you want it. When you are paying that much for a steak and it seems like they cannot prepare it how you like. I'm simple I like medium. I have been here 5 times in last 3 months, the bourbon is the only thing bringing me back. The wait staff is awesome, the pork belly is awesome, but for some reason a chop house needs to learn how to cook a steak. At the end of the day every time i had a issue with the steak they did make it right , but still because they have messed up a steak 3 out of 5 times I give them a 1 star and more then likely will find another bourbon spot. Cheers",1,Neutral
"Worst, most overpriced steak I’ve ever had! Even after telling the waiter it was over cooked and him agreeing, nothing was done. I’d rather have Chipotles steak than 801’s.",1,Negative
I would give this zero stars if I could. The blonde female manager was straight up rude. My group had a reservation and some of the people in our group were late. I let the hostess at the front (also very condescending) know and she said that was fine and she still seated us. Then out of now where the manager came up and told us that the rest of our group had five minutes to get here otherwise the wouldn’t be seated. If they had let us know this when we got here we wouldn’t have sat down. We were celebrating a birthday and this ruined it. We will never be coming back here again because of that woman.,1,Negative
"
Staff was rude food was under cooked….",1,Negative
"
Over priced food I could have cooked at home at a much better price",1,Negative
"
I wanted to love Chophouse. I went here for my birthday with family. I specifically picked this place because their claim “best prime rib in town.” Myself and another gal got the prime rib. It was a beautiful piece of meat, cooked perfectly, but with ZERO flavor. I have never had a flavorless prime rib. I assure you I could taste other dishes, and we both shared with other table mates who agreed. It’s like a complete step was missed in seasoning the meat. I watched in horror as someone put salt and pepper on the prime rib to give it flavor. I have never had such a flavorless piece of meat in my life. Our other guests got the ribeye and pork chop which they said were great. Drink service was slow the entire night, even though we were right next to the bar. We could see other servers waiting some time for their drinks, but didn’t run ours to our table 6ft away. Finally we flagged one of them down, because our server brought the check, but not our last drink (which we were already charged for).",2,Negative
"
Their wagu steak was just a regular ribeye. I was expecting an extraordinary mouthwatering steak but it was just “decent”. For $90 I think it should have been much better. Also, there are no sides that come with that. You have to order them separately. The service was good but the food is not worth it.",2,Neutral
"
Highly disappointed in both the service and the food. Arrived on time for our reservations, promptly seated but took 20 minutes to be greeted by any staff and that included getting water. Server forgot to bring out appetizers, ordered the off menu steak server presented which was HUGE but what I received was a charred ribeye that was about 1/3 of what was presented and over cooked. I told the server this is not what I ordered he disagreed. Asparagus was missing the hollandaise sauce, requested it but never received it, ordered the seasonal morel mushrooms buyer be aware $30 for 6 dry mushrooms. Ordered bottle service and we had the pleasure of refilling our own drinks. During our dinner someone came in off the street walked in asked us for money. Cocktails were weak and when they forgot the pineapple juice in a drink we asked for it and we were charged extra. Mind you the restaurant was empty so there was no reason for such terrible service. Server had very little personality but did chuckle and said yeah not my best performance. Gave us our $900 bill not offering to split it, did not thank us for coming in and did not invite us back. I followed up with restaurant on our experience and they never acknowledged or responded.",2,Negative
"
Daughter took me here for my birthday. Started out great. The cocktail was good and sourdough bread was yummy. Then we put our order in and told our server there was a toddler and infant at home that we needed to get home to. Our salads were supposed to be speedy but took close to 20 minutes. Our food took another 45 minutes and entres were cool and overcooked. The crab cake and asparagus were amazing. The manager did comp our meal so we will give them another chance.",2,Neutral
"
It was ok, not the best food. The spinach was raw, not cooked all the way. The lobster mac and cheese was absolutely disgusting we didn't finish it. The noodles were rubbery, the lobster was completely over cooked. Tasted horrible. The service however, outstanding. Unfortunately, the bad food outshined the service.",2,Negative
